"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Gujarat","Bharuch","Jambusar","Rice","Other","12/11/2019","2700","3300","3000"
"Gujarat","Bharuch","Jambusar","Wheat","Other","12/11/2019","1800","2000","1900"
"Gujarat","Dahod","Davgadbaria(Piplod)","Maize","Deshi White","12/11/2019","1520","1540","1530"
"Gujarat","Dahod","Devgadhbaria","Maize","Deshi White","12/11/2019","1520","1540","1530"
"Gujarat","Jamnagar","Bhanvad","Black Gram (Urd Beans)(Whole)","Other","12/11/2019","5000","7500","5500"
"Gujarat","Jamnagar","Bhanvad","Cotton","Bunny","12/11/2019","4500","5100","5000"
"Gujarat","Jamnagar","Bhanvad","Cummin Seed(Jeera)","Medium","12/11/2019","8500","10500","9500"
"Gujarat","Jamnagar","Bhanvad","Groundnut","G20","12/11/2019","3500","4330","3650"
"Gujarat","Jamnagar","Bhanvad","Sesamum(Sesame,Gingelly,Til)","White","12/11/2019","5600","10000","7500"
"Gujarat","Junagarh","Mangrol","Bajra(Pearl Millet/Cumbu)","Hybrid","12/11/2019","1750","2000","1900"
"Gujarat","Junagarh","Mangrol","Bengal Gram(Gram)(Whole)","Desi (F.A.Q. Split)","12/11/2019","4000","4500","4300"
"Gujarat","Junagarh","Mangrol","Corriander seed","Coriander Seed","12/11/2019","5135","6550","6000"
"Gujarat","Junagarh","Mangrol","Groundnut","G20","12/11/2019","4550","4600","4580"
"Gujarat","Junagarh","Mangrol","Groundnut","Local","12/11/2019","4125","4325","4250"
"Gujarat","Morbi","Vankaner(Sub yard)","Cabbage","Other","12/11/2019","2500","3000","2750"
"Gujarat","Morbi","Vankaner(Sub yard)","Capsicum","Other","12/11/2019","1000","2000","1500"
"Gujarat","Morbi","Vankaner(Sub yard)","Cauliflower","Other","12/11/2019","1500","2000","1750"
"Gujarat","Morbi","Vankaner(Sub yard)","Guar","Other","12/11/2019","7000","8000","7500"
"Gujarat","Morbi","Vankaner(Sub yard)","Lemon","Other","12/11/2019","4000","5000","4500"
"Gujarat","Morbi","Vankaner(Sub yard)","Tomato","Other","12/11/2019","3000","3500","3250"
"Gujarat","Panchmahals","Morva Hafad","Maize","Deshi White","12/11/2019","1750","2000","1875"
"Gujarat","Panchmahals","Morva Hafad","Paddy(Dhan)(Common)","Paddy","12/11/2019","1225","1500","1362"
"Gujarat","Panchmahals","Morva Hafad","Wheat","Deshi","12/11/2019","1750","2000","1875"
"Gujarat","Patan","Siddhpur","Onion","Other","12/11/2019","3000","6000","4500"
"Gujarat","Patan","Siddhpur","Potato","Other","12/11/2019","1550","1550","1550"
"Gujarat","Patan","Siddhpur","Tomato","Other","12/11/2019","2200","3000","2600"
"Gujarat","Rajkot","Dhoraji","Corriander seed","Medium Green","12/11/2019","4880","6280","5905"
"Gujarat","Rajkot","Dhoraji","Cotton","H.B (Unginned)","12/11/2019","4230","4980","4830"
"Gujarat","Rajkot","Dhoraji","Groundnut","G20","12/11/2019","3555","4255","4180"
"Gujarat","Rajkot","Dhoraji","Methi Seeds","Medium","12/11/2019","3030","4005","3855"
"Gujarat","Rajkot","Dhoraji","Sesamum(Sesame,Gingelly,Til)","White","12/11/2019","8905","10030","9605"
"Gujarat","Rajkot","Dhoraji","Soyabean","Yellow","12/11/2019","3580","3705","3655"
"Gujarat","Rajkot","Dhoraji","Wheat","Lokwan","12/11/2019","2055","2150","2145"
"Gujarat","Rajkot","Rajkot","Bajra(Pearl Millet/Cumbu)","Deshi","12/11/2019","1720","2140","2000"
"Gujarat","Rajkot","Rajkot","Bengal Gram(Gram)(Whole)","Desi (Whole)","12/11/2019","3750","4900","4425"
"Gujarat","Rajkot","Rajkot","Black Gram (Urd Beans)(Whole)","Desi","12/11/2019","5000","8500","7000"
"Gujarat","Rajkot","Rajkot","Castor Seed","Caster","12/11/2019","3695","3695","3695"
